Name,ParentOrg,OrgID,Address
Adelaide Library,MinterEllison,8914,"Lvl 10, 25 Grenfell Street ADELAIDE SA 5000 AUSTRALIA"
Music Library,University of Western Australia Library,9478,35 Stirling Highway CRAWLEY WA 6009 AUSTRALIA
69 Smith Street Gallery,,336182,69 Smith Street Fitzroy VIC AUSTRALIA
9th Battalion War Memorial Museum Library,9th Battalion War Memorial Museum,257,"Battalion HQ 9 RQR, Gona Barracks Kelvin Grove Road KELVIN GROVE QLD 4059 AUSTRALIA"
A.B. 'Banjo' Paterson Library,Sydney Grammar School,5625,College Street DARLINGHURST NSW 2010 AUSTRALIA
A.S. Holmes Library,Reserve Bank of Australia,6063,65 Martin Place Sydney NSW 2000 AUSTRALIA
A.S. Kenyon Library - Red Cliffs,Mildura Rural City Council Library Service,8316,Jamieson Avenue Red Cliffs VIC 3496 AUSTRALIA
AAPA Library,Aboriginal Areas Protection Authority,9848,"1st Floor, T.I.I. Building 76 Cavenaugh Street DARWIN NT 0800 AUSTRALIA"
ABC Archive,Australian Broadcasting Corporation,329037,ACT AUSTRALIA
ABC Pacific Collection,Australian Broadcasting Corporation,342820,ABC International Development GPO Box 9994 GPO Box 9994 MELBOURNE VIC 3001 AUSTRALIA
ABC Radio National,Australian Broadcasting Corporation,329857,ACT AUSTRALIA
ABC Reference Library,Australian Broadcasting Corporation,9810,"Level 3, ABC Reference Library 700 Harris Street ULTIMO NSW 2007 AUSTRALIA"
ABC Television - Four Corners,Australian Broadcasting Corporation,329977,NSW AUSTRALIA
ABN AMRO Australia Library,ABN AMRO Australia,9521,"ABN AMRO Tower, Level 26 88 Phillip Street SYDNEY NSW 2000 AUSTRALIA"
ACAP Library (Sydney),ACAP University College,4177,"Level 8, 255 Elizabeth Street SYDNEY NSW 2000 AUSTRALIA"
ACCC Library,Australian Competition and Consumer Commission,6437,23 Marcus Clarke St. Canberra ACT 2601 AUSTRALIA
ACCESS ministries Resource Centre,ACCESS ministries,8002,Level 2 695 Burke Road CAMBERWELL VIC 3124 AUSTRALIA
ACCI Library Canberra,Australian Chamber of Commerce and Industry,8482,"Level 3, Commerce House 24 Brisbane Avenue BARTON ACT 2600 AUSTRALIA"
ACCI Library Melbourne,Australian Chamber of Commerce and Industry,8481,"Level 4, 55 Exhibition Street MELBOURNE VIC 3000 AUSTRALIA"
ACIAR Library,Australian Centre for International Agricultural Research,203,"ACIAR House, 38 Thynne St, Fern Hill Park BRUCE ACT 2617 AUSTRALIA"
ACIL Allen,ACIL Allen,226597,"Level 19, 80 Collins Strett North Tower MELBOURNE VIC 3000 AUSTRALIA"
ACL Library,Australian Centre for Languages,8594,Level 4 11 York Street SYDNEY NSW 2000 AUSTRALIA
ACNT Library,Australian Council of National Trusts,8556,14/71 Constitution Avenue CAMPBELL ACT 2612 AUSTRALIA
ACON Knowledge Centre,AIDS Council of New South Wales,9522,414 Elizabeth Street SURRY HILLS NSW 2010 AUSTRALIA
ACOSS Library,Australian Council of Social Service,9529,Level 2 619 Elizabeth Street REDFERN NSW 2016 AUSTRALIA
ACT Branch Library,Australian Nursing and Midwifery Federation,785,"Unit 3, 36 Botany Street BOTANY ACT 2606 AUSTRALIA"
ACT Branch Library,National Trust of Australia (ACT),6874,2 Light Street GRIFFITH ACT 2603 AUSTRALIA
ACT Family Planning Library,Sexual Health and Family Planning ACT,8003,Level One 28 University Avenue CANBERRA ACT 2601 AUSTRALIA
ACT Heritage Library,Libraries ACT,6026,255 Canberra Avenue FYSHWICK ACT 2606 AUSTRALIA
ACT Legislative Assembly Library,,5796,"Level 1, North Building 180 London Circuit CANBERRA ACT 2601 AUSTRALIA"
ACT Met Office Library,Bureau of Meteorology,1436,C/- National Meteorological Library 700 Collins Street DOCKLANDS VIC 3008 AUSTRALIA
ACTT Library,Actors College of Theatre and Television,2308,St Laurence Arts Centre 505 Pitt Street SYDNEY NSW 2000 AUSTRALIA
ACU Art collection,Australian Catholic University,341580,"ACU Art Collection, Office of the Vice-Chancellor and President 24 Brunswick Street Fitzroy VIC 3065 AUSTRALIA"
ACU Research Bank,Australian Catholic University,338397,ACU RB ACU RB ACT 2612 AUSTRALIA
ADEC Library,Action on Disability within Ethnic Communities,11436,175 Plentry Road PRESTON VIC 3072 AUSTRALIA
ADHS Library,Alfred Deakin High School,5920,Denison Street DEAKIN ACT 2600 AUSTRALIA
AEMO - Information Centre,National Electricity Market Management Company,16437,"Lvl 22, 6 O'Connell Street SYDNEY NSW 2000 AUSTRALIA"
AEU Victorian Branch Information Services,Australian Education Union (Victorian Branch),4425,112 Trenerry Crescent ABBOTSFORD VIC 3067 AUSTRALIA
AFI Research Collection,RMIT University,9642,"AFI Research Collection, School of Media and Communication, RMIT University Building 8, Level 5, City Campus MELBOURNE VIC 3000 AUSTRALIA"
AFP Library,Australian Federal Police,3993,9 Brisbane Avenue BARTON ACT 2600 AUSTRALIA
AGEN Biomedical Library,Agen Ltd.,1819,"7 Durbell Street, Acacia Ridge BRISBANE QLD 4110 AUSTRALIA"
AH Bracks Library,City of Melville,5256,Corner of Stock Road & Canning Highway MELVILLE WA 6156 AUSTRALIA
AIATSIS Collections,Australian Institute of Aboriginal and Torres Strait Islander Studies,5145,Lawson Crescent ACTON ACT 2601 AUSTRALIA
AIFS Library,Australian Institute of Family Studies,6931,Level 4 40 City Road SOUTHBANK VIC 3006 AUSTRALIA
AIHW Library,Australian Institute of Health and Welfare,9702,6a Traeger Court 26 Thynne Street BRUCE ACT 2617 AUSTRALIA
AIJA Library,Australasian Institute of Judicial Administration,11396,"1st Floor, 472 Bourke Street MELBOURNE VIC 3000 AUSTRALIA"
AIM Graduate Studies Library,Australian Institute of Management QLD & NT,9487,Management House Cnr Boundary & Rosa Streets SPRING HILL QLD 4000 AUSTRALIA
AIM Information Resource Centre,Australian Institute of Management,6275,"Ground Floor, Management House 181 Fitzroy Street ST KILDA VIC 3182 AUSTRALIA"
AIR Library,Australian Industrial Registry,9605,Level 7 Terrace Towers 80 William Street EAST SYDNEY NSW 2011 AUSTRALIA
ALS Library Services Pty Ltd,,325057,12-14 Tooronga Avenue EDWARDSTOWN SA 5039 AUSTRALIA
ALTEC Library,"Australian Learning, Teaching and Education Centre",336539,Level 1 574 St Kilda Road Melbourne VIC 3004 AUSTRALIA
AMA(SA),Australian Medical Association (South Australia) Inc,16206,SA AUSTRALIA
AMEC Foster Wheeler Mining & Metals: Resource Centre,,332417,"Level 7, 197 St Georges Terrace PERTH WA 6000 AUSTRALIA"
